ofuton_00000000000000momiji_0000|あきのゆうひに|a k i n o y u u h i n i|A3 G3 G3 F3 F3 G3 G3 A3 F3 F3 C3 C3|0.6 0.3 0.3 0.3 0.3 0.6 0.6 0.6 1.2 1.2 1.2 1.2|0.685 0.087 0.251 0.042 0.32 0.039 0.592 0.451 0.169 0.946 0.067 0.69|0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0001|てるうやまもみいじ|t e r u u y a m a m o m i i j i|F3 F3 E3 E3 F3 G3 G3 C4 C4 A3 A3 G3 G3 F3 G3 G3|0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 0.6 0.6 0.6 0.3 0.3 0.3 1.2 1.2|0.062 0.675 0.017 0.308 0.283 0.027 0.557 0.077 0.544 0.042 0.56 0.058 0.271 0.274 0.093 0.632|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0002|こいもうすいも|k o i m o u s u i m o|A3 A3 G3 F3 F3 G3 A3 A3 F3 C3 C3|0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 1.2 1.2 1.2|0.104 0.559 0.219 0.052 0.337 0.412 0.153 0.613 1.05 0.084 0.618|0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0003|かずうあるなかに|k a z u u a r u n a k a n i|F3 F3 E3 E3 F3 G3 C4 C4 A3 A3 G3 G3 F3 F3|0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 0.6 0.6 0.6 0.6 1.2 1.2|0.141 0.554 0.05 0.265 0.378 0.517 0.02 0.578 0.035 0.564 0.059 0.596 0.04 0.557|0 0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0004|まつうぉいろどる|m a ts u w o i r o d o r u|C4 C4 A3 A3 B3 B3 C4 D4 D4 C4 C4 A3 A3|0.6 0.6 0.3 0.3 0.3 0.3 0.6 0.6 0.6 1.2 1.2 1.2 1.2|0.141 0.497 0.129 0.192 0.017 0.339 0.538 0.03 0.618 0.015 1.12 0.016 0.63|0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0005|かええでやあつたは|k a e e d e y a a ts u t a h a|C4 C4 D4 C4 A3 A3 G3 G3 F3 G3 G3 A3 A3 G3 G3|0.6 0.6 0.3 0.3 0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 0.6 1.2 1.2|0.102 0.674 0.171 0.371 0.026 0.613 0.027 0.187 0.33 0.111 0.471 0.101 0.461 0.098 0.616|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0006|やまのふもとの|y a m a n o f u m o t o n o|C4 C4 D4 D4 C4 C4 A3 A3 G3 G3 F3 F3 C3 C3|0.6 0.6 0.3 0.3 0.3 0.3 0.6 0.6 0.6 0.6 1.2 1.2 1.2 1.2|0.148 0.594 0.066 0.276 0.028 0.241 0.088 0.511 0.051 0.528 0.058 1.183 0.049 0.547|0 0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0007|すそおもよお|s u s o o m o y o o|F3 F3 E3 E3 F3 A3 A3 G3 G3 F3|0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 0.6 1.2|0.224 0.485 0.148 0.254 0.253 0.07 0.557 0.027 0.579 1.507|0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0008|たにのながれに|t a n i n o n a g a r e n i|A3 A3 G3 G3 F3 F3 G3 G3 A3 A3 F3 F3 C3 C3|0.6 0.6 0.3 0.3 0.3 0.3 0.6 0.6 0.6 0.6 1.2 1.2 1.2 1.2|0.096 0.559 0.062 0.241 0.03 0.293 0.045 0.504 0.07 0.581 0.008 1.067 0.096 0.615|0 0 0 0 0 0 0 0 0 0 0 0 0 0
ofuton_00000000000000momiji_0009|ちりいうくもみいじ|ch i r i i u k u m o m i i j i|F3 F3 E3 E3 F3 G3 C4 C4 A3 A3 G3 G3 F3 G3 G3|0.6 0.6 0.3 0.3 0.3 0.6 0.6 0.6 0.6 0.6 0.3 0.3 0.3 1.2 1.2|0.244 0.545 0.017 0.254 0.332 0.517 0.075 0.571 0.029 0.57 0.066 0.274 0.274 0.105 0.693|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
